validSince,name,Population,Notes,CensusYear
1703,East,"1,138",,1703
1703,South,740,,1703
1703,West,622,,1703
1703,Dock,749,,1703
1703,North,856,,1703
1703,Montgomery,,,
1703,Out,341,,1703
1831,1,10380,,1835
1831,2,7549,,1835
1831,3,10884,,1835
1831,4,15439,,1835
1831,5,18495,,1835
1831,6,14827,,1835
1831,7,21481,,1835
1831,8,28570,,1835
1831,9,20618,,1835
1831,10,20926,,1835
1831,11,26845,,1835
1831,12,24437,,1835
1831,13,17130,,1835
1831,14,17306,,1835
1831,15,13202,,1835
1789,1,1764,South Ward,1790
1789,2,1916,Dock Ward,1790
1789,3,3765,East Ward,1790
1789,4,6844,West Ward,1790
1789,5,6818,Montgomery,1790
1789,6,5568,North Ward,1790
1789,7,5653,Out Ward,1790
1808,1,7941,,1810
1808,2,8493,,1810
1808,3,7426,,1810
1808,4,10226,,1810
1808,5,14744,,1810
1808,6,11286,,1810
1808,7,12120,,1810
1808,8,9128,,1810
1808,9,4719,,1810
1808,10,10290,,1810
1853,1,13486,,1855
1853,2,3249,,1855
1853,3,7909,,1855
1853,4,22895,,1855
1853,5,21617,,1855
1853,6,25562,,1855
1853,7,34422,,1855
1853,8,34052,,1855
1853,9,39982,,1855
1853,10,26378,,1855
1853,11,52979,,1855
1853,12,17656,,1855
1853,13,26597,,1855
1853,14,24754,,1855
1853,15,24046,,1855
1853,16,39823,,1855
1853,17,59548,,1855
1853,18,39415,,1855
1853,19,17866,,1855
1853,20,47055,,1855
1853,21,27914,,1855
1853,22,22605,,1855
