Year,Period,Week Ending,State,State ANSI,Watershed,Data Item,Value,CV (%)
2017,JAN THRU MAR,,ALABAMA,1,,ADDED & REPLACED,570,
2017,JAN THRU MAR,,ARIZONA,4,,ADDED & REPLACED,2900,
2017,JAN THRU MAR,,ARKANSAS,5,,ADDED & REPLACED,430,
2017,JAN THRU MAR,,CALIFORNIA,6,,ADDED & REPLACED,215000,
2017,JAN THRU MAR,,COLORADO,8,,ADDED & REPLACED,100,
2017,JAN THRU MAR,,CONNECTICUT,9,,ADDED & REPLACED,100,
2017,JAN THRU MAR,,FLORIDA,12,,ADDED & REPLACED,80000,
2017,JAN THRU MAR,,GEORGIA,13,,ADDED & REPLACED,36000,
2017,JAN THRU MAR,,HAWAII,15,,ADDED & REPLACED,510,
2017,JAN THRU MAR,,IDAHO,16,,ADDED & REPLACED,2000,
2017,JAN THRU MAR,,ILLINOIS,17,,ADDED & REPLACED,3100,
2017,JAN THRU MAR,,INDIANA,18,,ADDED & REPLACED,1700,
2017,JAN THRU MAR,,IOWA,19,,ADDED & REPLACED,70,
2017,JAN THRU MAR,,KANSAS,20,,ADDED & REPLACED,930,
2017,JAN THRU MAR,,KENTUCKY,21,,ADDED & REPLACED,950,
2017,JAN THRU MAR,,LOUISIANA,22,,ADDED & REPLACED,11000,
2017,JAN THRU MAR,,MAINE,23,,ADDED & REPLACED,100,
2017,JAN THRU MAR,,MARYLAND,24,,ADDED & REPLACED,770,
2017,JAN THRU MAR,,MASSACHUSETTS,25,,ADDED & REPLACED,120,
2017,JAN THRU MAR,,MICHIGAN,26,,ADDED & REPLACED,600,
2017,JAN THRU MAR,,MINNESOTA,27,,ADDED & REPLACED,3300,
2017,JAN THRU MAR,,MISSISSIPPI,28,,ADDED & REPLACED,23000,
2017,JAN THRU MAR,,MISSOURI,29,,ADDED & REPLACED,400,
2017,JAN THRU MAR,,MONTANA,30,,ADDED & REPLACED,3100,
2017,JAN THRU MAR,,NEBRASKA,31,,ADDED & REPLACED,120,
2017,JAN THRU MAR,,NEW JERSEY,34,,ADDED & REPLACED,10,
2017,JAN THRU MAR,,NEW MEXICO,35,,ADDED & REPLACED,3600,
2017,JAN THRU MAR,,NEW YORK,36,,ADDED & REPLACED,520,
2017,JAN THRU MAR,,NORTH CAROLINA,37,,ADDED & REPLACED,3700,
2017,JAN THRU MAR,,NORTH DAKOTA,38,,ADDED & REPLACED,1100,
2017,JAN THRU MAR,,OHIO,39,,ADDED & REPLACED,1300,
2017,JAN THRU MAR,,OKLAHOMA,40,,ADDED & REPLACED,9500,
2017,JAN THRU MAR,,OREGON,41,,ADDED & REPLACED,7500,
2017,JAN THRU MAR,,PENNSYLVANIA,42,,ADDED & REPLACED,810,
2017,JAN THRU MAR,,SOUTH CAROLINA,45,,ADDED & REPLACED,4700,
2017,JAN THRU MAR,,SOUTH DAKOTA,46,,ADDED & REPLACED,1500,
2017,JAN THRU MAR,,TENNESSEE,47,,ADDED & REPLACED,1500,
2017,JAN THRU MAR,,TEXAS,48,,ADDED & REPLACED,148000,
2017,JAN THRU MAR,,UTAH,49,,ADDED & REPLACED,2900,
2017,JAN THRU MAR,,VERMONT,50,,ADDED & REPLACED,0,
2017,JAN THRU MAR,,VIRGINIA,51,,ADDED & REPLACED,1900,
2017,JAN THRU MAR,,WASHINGTON,53,,ADDED & REPLACED,8500,
2017,JAN THRU MAR,,WEST VIRGINIA,54,,ADDED & REPLACED,450,
2017,JAN THRU MAR,,WISCONSIN,55,,ADDED & REPLACED,450,
2017,JAN THRU MAR,,WYOMING,56,,ADDED & REPLACED,1300,
2017,APR THRU JUN,,ALABAMA,1,,ADDED & REPLACED,1200,
2017,APR THRU JUN,,ARIZONA,4,,ADDED & REPLACED,12500,
2017,APR THRU JUN,,ARKANSAS,5,,ADDED & REPLACED,5000,
2017,APR THRU JUN,,CALIFORNIA,6,,ADDED & REPLACED,210000,
2017,APR THRU JUN,,COLORADO,8,,ADDED & REPLACED,5500,
2017,APR THRU JUN,,CONNECTICUT,9,,ADDED & REPLACED,2200,
2017,APR THRU JUN,,FLORIDA,12,,ADDED & REPLACED,40000,
2017,APR THRU JUN,,GEORGIA,13,,ADDED & REPLACED,21000,
2017,APR THRU JUN,,HAWAII,15,,ADDED & REPLACED,520,
2017,APR THRU JUN,,IDAHO,16,,ADDED & REPLACED,24000,
2017,APR THRU JUN,,ILLINOIS,17,,ADDED & REPLACED,3600,
2017,APR THRU JUN,,INDIANA,18,,ADDED & REPLACED,3000,
2017,APR THRU JUN,,IOWA,19,,ADDED & REPLACED,24000,
2017,APR THRU JUN,,KANSAS,20,,ADDED & REPLACED,2500,
2017,APR THRU JUN,,KENTUCKY,21,,ADDED & REPLACED,2900,
2017,APR THRU JUN,,LOUISIANA,22,,ADDED & REPLACED,4600,
2017,APR THRU JUN,,MAINE,23,,ADDED & REPLACED,790,
2017,APR THRU JUN,,MARYLAND,24,,ADDED & REPLACED,3200,
2017,APR THRU JUN,,MASSACHUSETTS,25,,ADDED & REPLACED,1900,
2017,APR THRU JUN,,MICHIGAN,26,,ADDED & REPLACED,22000,
2017,APR THRU JUN,,MINNESOTA,27,,ADDED & REPLACED,18500,
2017,APR THRU JUN,,MISSISSIPPI,28,,ADDED & REPLACED,5500,
2017,APR THRU JUN,,MISSOURI,29,,ADDED & REPLACED,1700,
2017,APR THRU JUN,,MONTANA,30,,ADDED & REPLACED,15000,
2017,APR THRU JUN,,NEBRASKA,31,,ADDED & REPLACED,6000,
2017,APR THRU JUN,,NEW JERSEY,34,,ADDED & REPLACED,1600,
2017,APR THRU JUN,,NEW MEXICO,35,,ADDED & REPLACED,2300,
2017,APR THRU JUN,,NEW YORK,36,,ADDED & REPLACED,16000,
2017,APR THRU JUN,,NORTH CAROLINA,37,,ADDED & REPLACED,3900,
2017,APR THRU JUN,,NORTH DAKOTA,38,,ADDED & REPLACED,19500,
2017,APR THRU JUN,,OHIO,39,,ADDED & REPLACED,8000,
2017,APR THRU JUN,,OKLAHOMA,40,,ADDED & REPLACED,6500,
2017,APR THRU JUN,,OREGON,41,,ADDED & REPLACED,18000,
2017,APR THRU JUN,,PENNSYLVANIA,42,,ADDED & REPLACED,7000,
2017,APR THRU JUN,,SOUTH CAROLINA,45,,ADDED & REPLACED,1900,
2017,APR THRU JUN,,SOUTH DAKOTA,46,,ADDED & REPLACED,10000,
2017,APR THRU JUN,,TENNESSEE,47,,ADDED & REPLACED,2600,
2017,APR THRU JUN,,TEXAS,48,,ADDED & REPLACED,43000,
2017,APR THRU JUN,,UTAH,49,,ADDED & REPLACED,14500,
2017,APR THRU JUN,,VERMONT,50,,ADDED & REPLACED,390,
2017,APR THRU JUN,,VIRGINIA,51,,ADDED & REPLACED,3100,
2017,APR THRU JUN,,WASHINGTON,53,,ADDED & REPLACED,36000,
2017,APR THRU JUN,,WEST VIRGINIA,54,,ADDED & REPLACED,3400,
2017,APR THRU JUN,,WISCONSIN,55,,ADDED & REPLACED,13000,
2017,APR THRU JUN,,WYOMING,56,,ADDED & REPLACED,4800,
2016,JAN THRU MAR,,ALABAMA,1,,ADDED & REPLACED,2100,
2016,JAN THRU MAR,,ARIZONA,4,,ADDED & REPLACED,3500,
2016,JAN THRU MAR,,ARKANSAS,5,,ADDED & REPLACED,5000,
2016,JAN THRU MAR,,CALIFORNIA,6,,ADDED & REPLACED,210000,
